iter	Passed	Remaining
294	685	1638
295	687	1634
296	688	1629
297	689	1624
298	693	1625
299	694	1621
300	696	1616
301	698	1613
302	699	1608
303	700	1604
304	702	1599
305	703	1595
306	704	1590
307	708	1590
308	709	1586
309	711	1582
310	712	1578
311	713	1574
312	715	1569
313	716	1565
314	717	1561
315	719	1557
316	721	1554
317	723	1551
318	724	1547
319	726	1543
320	727	1539
321	729	1535
322	730	1531
323	732	1527
324	733	1523
325	735	1520
326	737	1517
327	738	1513
328	740	1509
329	741	1505
330	743	1501
331	744	1497
332	745	1494
333	747	1489
334	749	1488
335	751	1485
336	753	1481
337	754	1477
338	755	1474
339	757	1470
340	758	1465
341	759	1462
342	761	1458
343	762	1454
344	765	1452
345	766	1449
346	768	1445
347	769	1441
348	770	1437
349	772	1433
350	773	1430
351	775	1427
352	776	1423
353	777	1419
354	780	1417
355	781	1414
356	783	1410
357	784	1406
358	785	1403
359	787	1399
360	789	1396
361	790	1393
362	792	1389
363	795	1390
364	797	1386
365	798	1383
366	799	1379
367	801	1376
368	802	1372
369	804	1369
370	805	1365
371	806	1362
372	809	1361
373	811	1358
374	813	1355
375	815	1353
376	817	1351
377	819	1347
378	820	1344
379	822	1341
380	824	1339
381	826	1336
382	827	1333
383	829	1330
384	831	1327
385	832	1324
386	833	1320
387	835	1318
388	836	1314
389	838	1312
390	841	1310
391	842	1307
392	844	1304
393	845	1300
394	847	1297
395	848	1294
396	849	1290
397	851	1287
398	852	1283
399	856	1284
400	857	1280
401	858	1277
402	860	1275
403	862	1272
404	864	1269
405	865	1266
406	867	1263
407	869	1262
408	871	1259
409	872	1256
410	874	1253
411	875	1250
412	877	1246
413	878	1243
414	879	1240
415	881	1237
416	883	1234
417	885	1232
418	886	1229
419	888	1226
420	889	1223
421	891	1220
422	892	1217
423	894	1214
424	895	1211
425	897	1208
426	900	1207
427	901	1204
428	902	1201
429	904	1198
430	905	1195
431	906	1192
432	908	1189
433	910	1186
434	911	1183
435	914	1182
436	916	1180
437	917	1177
438	919	1174
439	922	1173
440	923	1170
441	925	1167
442	926	1164
443	929	1164
444	932	1163
445	935	1161
446	937	1159
447	939	1157
448	942	1156
449	948	1159
450	950	1156
451	952	1154
452	954	1152
453	956	1150
454	959	1148
455	962	1147
456	964	1145
457	965	1142
458	968	1141
459	970	1139
460	977	1142
461	979	1140
462	981	1138
463	983	1136
464	985	1134
465	987	1131
466	991	1131
467	993	1129
468	995	1127
469	998	1125
470	1000	1124
471	1004	1123
472	1009	1125
473	1011	1122
474	1014	1121
475	1016	1119
476	1022	1121
477	1025	1119
478	1027	1117
479	1031	1117
480	1033	1115
481	1038	1115
482	1039	1113
483	1041	1110
484	1043	1107
485	1044	1105
486	1046	1102
487	1047	1099
488	1049	1096
489	1052	1095
490	1053	1092
491	1055	1089
492	1057	1087
493	1058	1084
494	1060	1082
495	1062	1079
496	1063	1076
497	1065	1073
498	1067	1071
499	1068	1068
500	1070	1066
501	1071	1063
502	1073	1060
503	1074	1057
504	1076	1055
505	1077	1052
506	1078	1049
507	1081	1047
508	1083	1045
509	1085	1042
510	1086	1040
511	1088	1037
512	1090	1034
513	1091	1031
514	1092	1029
515	1094	1026
516	1097	1025
517	1099	1023
518	1101	1020
519	1103	1018
520	1104	1015
521	1105	1012
522	1107	1009
523	1108	1006
524	1111	1005
525	1113	1003
526	1114	1000
527	1116	997
528	1118	995
529	1121	994
530	1123	991
531	1127	991
532	1131	991
533	1133	988
534	1134	986
535	1136	984
536	1138	981
537	1139	978
538	1143	977
539	1144	974
540	1145	972
541	1147	969
542	1148	966
543	1150	964
544	1151	961
545	1153	958
546	1154	956
547	1157	954
548	1159	952
549	1160	949
550	1161	946
551	1163	944
552	1165	941
553	1166	938
554	1167	936
555	1169	933
556	1170	930
557	1172	928
558	1173	926
559	1175	923
560	1176	920
561	1178	918
562	1179	915
563	1180	912
564	1182	910
565	1184	907
566	1186	905
567	1187	903
568	1189	901
569	1191	898
570	1192	895
571	1193	893
572	1195	890
573	1196	888
574	1198	885
575	1202	885
576	1204	883
577	1207	881
578	1208	879
579	1211	876
580	1213	874
581	1214	872
582	1217	871
583	1219	868
584	1220	866
585	1222	863
586	1223	860
587	1225	858
588	1227	856
589	1229	854
590	1230	851
591	1232	849
592	1234	847
593	1235	844
594	1237	841
595	1238	839
596	1239	836
597	1241	834
598	1242	831
599	1243	829
600	1245	826
601	1247	824
602	1248	822
603	1250	819
604	1251	817
605	1253	814
606	1254	812
607	1256	810
608	1258	807
609	1260	805
610	1262	803
611	1264	801
612	1265	798
613	1267	796
614	1269	794
615	1270	792
616	1272	789
617	1273	787
618	1274	784
619	1278	783
620	1279	781
621	1281	778
622	1283	776
623	1285	774
624	1286	772
625	1288	769
626	1290	767
627	1292	765
628	1294	763
629	1297	762
630	1299	759
631	1300	757
632	1301	754
633	1303	752
634	1304	750
635	1307	748
636	1309	746
637	1311	744
638	1312	741
639	1314	739
640	1316	737
641	1317	734
642	1318	732
643	1321	730
644	1323	728
645	1324	725
646	1325	723
647	1327	720
648	1328	718
649	1330	716
650	1331	713
651	1332	711
652	1334	708
653	1337	707
654	1339	705
655	1340	703
656	1342	700
657	1343	698
658	1344	695
659	1346	693
660	1347	691
661	1348	688
662	1350	686
663	1352	684
664	1354	682
665	1356	680
666	1357	677
667	1359	675
668	1360	673
669	1362	670
670	1363	668
671	1365	666
672	1367	664
673	1369	662
674	1371	660
675	1373	658
676	1374	655
677	1376	653
678	1377	651
679	1378	648
680	1381	647
681	1383	645
682	1385	642
683	1386	640
684	1388	638
685	1389	636
686	1391	633
687	1392	631
688	1394	629
689	1396	627
690	1398	625
691	1399	623
692	1401	620
693	1403	618
694	1404	616
695	1406	614
696	1407	611
697	1409	609
698	1412	608
699	1414	606
700	1416	604
701	1418	602
702	1419	599
703	1421	597
704	1423	595
705	1424	593
706	1427	591
707	1429	589
708	1431	587
709	1432	585
710	1434	582
711	1436	580
712	1437	578
713	1439	576
714	1442	575
715	1444	572
716	1445	570
717	1447	568
718	1448	566
719	1450	564
720	1452	562
721	1454	559
722	1458	558
723	1460	556
724	1462	554
725	1464	552
726	1469	551
727	1474	550
728	1477	549
729	1479	547
730	1482	545
731	1484	543
732	1489	542
733	1491	540
734	1492	538
735	1494	535
736	1495	533
737	1496	531
738	1498	529
739	1499	526
740	1501	524
741	1503	522
742	1505	520
743	1506	518
744	1507	516
745	1509	513
746	1510	511
747	1512	509
748	1513	507
749	1514	504
750	1517	503
751	1519	500
752	1520	498
753	1521	496
754	1523	494
755	1524	492
756	1526	489
757	1527	487
758	1528	485
759	1530	483
760	1532	481
761	1534	479
762	1535	476
763	1537	474
764	1538	472
765	1539	470
766	1541	468
767	1542	466
768	1544	463
769	1546	461
770	1548	459
771	1549	457
772	1551	455
773	1552	453
774	1554	451
775	1555	449
776	1557	446
777	1558	444
778	1559	442
779	1562	440
780	1564	438
781	1565	436
782	1567	434
783	1568	432
784	1570	430
785	1571	427
786	1572	425
787	1574	423
788	1577	421
789	1578	419
790	1580	417
791	1581	415
792	1583	413
793	1584	411
794	1586	409
795	1587	406
796	1589	404
797	1591	402
798	1593	400
799	1596	399
800	1597	396
801	1598	394
802	1600	392
803	1601	390
804	1602	388
805	1604	386
806	1606	384
807	1608	382
808	1609	380
809	1611	377
810	1612	375
811	1613	373
812	1615	371
813	1617	369
814	1618	367
815	1619	365
816	1622	363
817	1624	361
818	1625	359
819	1627	357
820	1628	355
821	1629	352
822	1631	350
823	1632	348
824	1633	346
825	1635	344
826	1637	342
827	1638	340
828	1640	338
829	1641	336
830	1642	334
831	1644	332
832	1645	329
833	1647	327
834	1648	325
835	1649	323
836	1651	321
837	1653	319
838	1654	317
839	1656	315
840	1657	313
841	1658	311
842	1660	309
843	1661	307
844	1663	305
845	1664	303
846	1666	300
847	1668	298
848	1669	296
849	1671	294
850	1673	292
851	1675	290
852	1676	288
853	1678	286
854	1679	284
855	1681	282
856	1683	280
857	1684	278
858	1686	276
859	1687	274
860	1688	272
861	1690	270
862	1691	268
863	1693	266
864	1695	264
865	1697	262
866	1698	260
867	1700	258
868	1702	256
869	1703	254
870	1705	252
871	1706	250
872	1708	248
873	1710	246
874	1712	244
875	1713	242
876	1716	240
877	1718	238
878	1719	236
879	1721	234
880	1722	232
881	1723	230
882	1726	228
883	1728	226
884	1729	224
885	1730	222
886	1732	220
887	1733	218
888	1735	216
889	1736	214
890	1737	212
891	1739	210
892	1742	208
893	1744	206
894	1745	204
895	1746	202
896	1748	200
897	1750	198
898	1751	196
899	1752	194
900	1755	192
901	1757	190
902	1758	188
903	1760	186
904	1761	184
905	1763	183
906	1765	181
907	1766	179
908	1768	177
909	1771	175
910	1772	173
911	1774	171
912	1775	169
913	1776	167
914	1778	165
915	1779	163
916	1781	161
917	1782	159
918	1784	157
919	1786	155
920	1788	153
921	1789	151
922	1791	149
923	1792	147
924	1794	145
925	1795	143
926	1797	141
927	1798	139
928	1802	137
929	1803	135
930	1805	133
931	1806	131
932	1808	129
933	1810	127
934	1811	125
935	1813	123
936	1815	122
937	1817	120
938	1819	118
939	1821	116
940	1823	114
941	1824	112
942	1826	110
943	1827	108
944	1829	106
945	1831	104
946	1833	102
947	1834	100
948	1836	98
949	1837	96
950	1839	94
951	1840	92
952	1841	90
953	1843	88
954	1845	86
955	1846	85
956	1849	83
957	1850	81
958	1852	79
959	1853	77
960	1855	75
961	1857	73
962	1858	71
963	1861	69
964	1863	67
965	1865	65
966	1866	63
967	1868	61
968	1869	59
969	1871	57
970	1872	55
971	1874	53
972	1877	52
973	1879	50
974	1880	48
975	1881	46
976	1883	44
977	1884	42
978	1886	40
979	1887	38
980	1888	36
981	1891	34
982	1893	32
983	1894	30
984	1895	28
985	1897	26
986	1898	25
987	1899	23
988	1901	21
989	1902	19
990	1903	17
991	1906	15
992	1908	13
993	1909	11
994	1910	9
995	1912	7
996	1913	5
997	1915	3
998	1916	1
999	1918	0
